Estado,Usuario_agencia_estatal,Usuario_municipal?,Fecha,Mes,Dia,Ano,Factura no.,Marca,Pais_origen_empresa,No_piezas,Costo_Pesos_Mex,Calibre,Semi_auto_auto_n_a,Tipo,Comentario
Aguascalientes,,,1/5/2006,5,1,2006,848,Beretta,Italia,446,"2,459,093",9mm,n.a.,Pistola,
Aguascalientes,,,1/5/2006,5,1,2006,848,Mendoza,México,196,"1,431,199",9mm,n.a.,Submetralleta,
Aguascalientes,,,1/5/2006,5,1,2006,848,Mendoza,México,4,0,9mm,n.a.,Submetralleta,
Aguascalientes,,,1/5/2006,5,1,2006,848,Mossberg,Estados Unidos,10,"25,047",12 G.A.,n.a.,Escopeta de bomba,
Aguascalientes,,,1/5/2006,5,1,2006,848,Sako,Finlandia,2,"138,676",".308"" win",n.a.,Fusil sniper,
Aguascalientes,,,1/5/2006,5,1,2006,848,Smith & Wesson,Estados Unidos,12,"59,594",".38""",n.a.,Revolver,
Aguascalientes,Secretaría de Seguridad Pública,,26/8/2006,8,26,2006,1066,Beretta,Italia,446,"2,468,093",9mm,n.a.,Pistola,
Aguascalientes,Secretaría de Seguridad Pública,,26/8/2006,8,26,2006,1066,Mendoza,México,196,"1,431,199",9mm,n.a.,Submetralleta,
Aguascalientes,Secretaría de Seguridad Pública,,26/8/2006,8,26,2006,1066,Mendoza,México,4,0,9mm,n.a.,Submetralleta,
Aguascalientes,Secretaría de Seguridad Pública,,26/8/2006,8,26,2006,1066,Mossberg,Estados Unidos,10,"25,047",12 G.A.,n.a.,Escopeta de bomba,
Aguascalientes,Secretaría de Seguridad Pública,,26/8/2006,8,26,2006,1066,Sako,Finlandia,2,"138,676",".308"" win",n.a.,Fusil sniper,
Aguascalientes,Secretaría de Seguridad Pública,,26/8/2006,8,26,2006,1066,Smith & Wesson,Estados Unidos,12,"59,594",".38""",n.a.,Revolver,
Aguascalientes,Procuraduría General de Justicia,,26/12/2006,12,26,2006,1278,Glock,Austria,60,"341,439",9mm,n.a.,Pistola,
Aguascalientes,Procuraduría General de Justicia,,26/12/2006,12,26,2006,1278,Heckler & Koch,Alemania,100,"1,651,656",5.56mm,Semi-auto,Fusil,
Aguascalientes,Secretaría de Seguridad Pública,,28/12/2006,12,28,2006,1276,Mendoza,México,47,"339,028",9mm,n.a.,Submetralleta,
Aguascalientes,Secretaría de Seguridad Pública,,26/4/2007,4,26,2007,1400,Beretta,Italia,19,"118,264",9mm,n.a.,Pistola,factura no todo legible
